s,e,it,v,n,wr,pf,ret,dd,expo,avg
XU100,BIST_DLY,4h,E2_ST,46,78.26086956521739,6.71409302924577,414.39390202314826,-25.23179317325226,38.38,3.9198707259418653
XU100,BIST_DLY,4h,E1_ST,65,61.53846153846154,2.8576946403709496,395.25525008642387,-31.73452727563695,62.9,2.810451520038554
XU100,BIST_DLY,4h,ST_ONLY,95,56.8421052631579,3.317028993745327,1057.5336788337977,-20.461847849425364,60.46,2.874566873099657
XU100,BIST_DLY,4h,E2_TIME20,47,68.08510638297872,3.5361009514176307,195.3873647610845,-21.399751273504684,19.74,2.455322864780462
XU100,BIST_DLY,4h,E2_RSI50,47,68.08510638297872,2.155204110501171,29.967095125017718,-17.711988316533976,7.18,0.5822446788817048
XU100,BIST_DLY,1h,E2_ST,42,61.904761904761905,1.7392452706100396,28.679614852203294,-14.947079472932511,42.0,0.6518765773294551
XU100,BIST_DLY,1h,E1_ST,79,45.56962025316456,1.419616714145082,34.400687259130436,-16.018588343935658,70.32,0.4239665959728492
XU100,BIST_DLY,1h,ST_ONLY,99,42.42424242424242,1.4158368352838648,35.862602718794776,-14.43645040810292,57.62,0.3424174905895488
XU100,BIST_DLY,1h,E2_TIME20,44,43.18181818181818,0.6207433985111293,-16.195740071301657,-18.168616892453272,18.48,-0.3762701729315872
XU100,BIST_DLY,1h,E2_RSI50,43,58.13953488372093,0.5093836414621966,-15.06351595539609,-21.922367539169695,10.66,-0.3608015551475259
THYAO,BIST,4h,E2_ST,38,50.0,2.3881333813596997,353.44539184816625,-26.39182250307813,33.54,4.845675847455781
THYAO,BIST,4h,E1_ST,76,56.578947368421055,2.2351549464395557,1860.1222831642422,-38.59610234086732,67.68,4.622427268238001
THYAO,BIST,4h,ST_ONLY,96,41.666666666666664,1.7594895054588793,1136.5021501785086,-30.024748436285186,63.16,3.1776816638333196
THYAO,BIST,4h,E2_TIME20,40,67.5,1.671887742522736,75.26102311513748,-31.007958281463168,16.8,1.74656117095774
THYAO,BIST,4h,E2_RSI50,39,69.23076923076923,0.9382989098479991,-3.0621458482745223,-38.172597624192825,6.18,0.10196520351137685
